No,Name,Village,Clan,Power1,Power2,SpecialPower,TailedBeast,Power,Intelligence,Legendary
1,Naruto Uzumaki,Leaf,Uzumaki,Shadow Clone Jutsu,Rasengan,Sage Mode,Kurama,9.9,3,1
2,Sasuke Uchiha,Leaf,Uchiha,Chidori,Fire Style,Rinnegan,None,9.8,5,1
3,Sakura Haruno,Leaf,Haruno,Medical Ninjutsu,Super Strength,Byakugou Seal,None,8.5,4,0
4,Kakashi Hatake,Leaf,Hatake,Sharingan,Lightning Blade,Kamui,None,9.0,5,1
5,Itachi Uchiha,Leaf,Uchiha,Genjutsu,Fire Style,Tsukuyomi,None,9.5,5,1
6,Gaara,Sand,None,Sand Control,Shield Sand,Shukaku Power,Shukaku,9.0,4,1
7,Rock Lee,Leaf,None,Taijutsu,Primary Lotus,Eight Gates,None,8.8,3,0
8,Neji Hyuga,Leaf,Hyuga,Byakugan,Gentle Fist,Rotation,None,8.7,4,0
9,Hinata Hyuga,Leaf,Hyuga,Byakugan,Gentle Step,Twin Lion Fists,None,8.0,4,0
10,Shikamaru Nara,Leaf,Nara,Shadow Possession,Shadow Stitching,Strategy,None,7.5,5,0
11,Choji Akimichi,Leaf,Akimichi,Expansion Jutsu,Human Boulder,Butterfly Mode,None,7.3,3,0
12,Ino Yamanaka,Leaf,Yamanaka,Mind Transfer,Sensory Jutsu,Medical Support,None,7.0,4,0
13,Kiba Inuzuka,Leaf,Inuzuka,Fang Over Fang,Beast Mimicry,Two Headed Wolf,None,7.1,3,0
14,Shino Aburame,Leaf,Aburame,Insect Control,Chakra Drain,Parasite Bugs,None,7.6,4,0
15,Tenten,Leaf,None,Weapon Summon,Scroll Weapons,Tool Mastery,None,6.8,3,0
16,Minato Namikaze,Leaf,Namikaze,Flying Thunder God,Rasengan,Yellow Flash,None,9.7,5,1
17,Kushina Uzumaki,Leaf,Uzumaki,Chakra Chains,Sealing Jutsu,Nine Tails Host,Kurama,9.1,4,1
18,Tsunade,Leaf,Senju,Medical Ninjutsu,Super Strength,Creation Rebirth,None,9.2,4,1
19,Jiraiya,Leaf,None,Summoning Jutsu,Rasengan,Sage Mode,None,9.3,4,1
20,Orochimaru,Sound,None,Snake Techniques,Edo Tensei,Body Transfer,None,9.4,5,1
21,Kabuto Yakushi,Sound,None,Medical Ninjutsu,Snake Sage Mode,Regeneration,None,8.7,5,0
22,Madara Uchiha,Leaf,Uchiha,Sharingan,Susanoo,Rinnegan,None,10.0,5,1
23,Obito Uchiha,Leaf,Uchiha,Kamui,Sharingan,Ten Tails Mode,Ten Tails,9.9,4,1
24,Nagato Uzumaki,Rain,Uzumaki,Rinnegan,Shinra Tensei,Six Paths,None,9.8,4,1
25,Konan,Rain,None,Paper Jutsu,Paper Bombs,Paper Ocean,None,8.2,4,0
26,Deidara,Stone,None,Explosion Style,Clay Birds,C0 Explosion,None,8.0,3,0
27,Sasori,Sand,None,Puppet Mastery,Poison Blades,Hundred Puppets,None,8.3,4,0
28,Kisame Hoshigaki,Mist,Hoshigaki,Water Style,Samehada Sword,Shark Mode,None,8.9,3,0
